pft,trait,distn,parama,paramb,pft_id,prior_id,is_posterior
umbs.northern_pine,f_labile,beta,1.5,1.5,99000000005,5,FALSE
umbs.northern_pine,growth_resp_factor,beta,2.63,6.52,99000000005,7,FALSE
umbs.northern_pine,seedling_mortality,beta,3.61,0.433,99000000005,17,FALSE
umbs.northern_pine,nonlocal_dispersal,beta,1.1,1.5,99000000005,63,FALSE
umbs.northern_pine,r_fract,beta,2,4,99000000005,80,FALSE
umbs.northern_pine,mort2,unif,5,80,99000000005,128,FALSE
umbs.northern_pine,SLA,unif,3,30,99000000005,132,FALSE
umbs.northern_pine,stomatal_slope,unif,2,16,99000000005,134,FALSE
umbs.northern_pine,fineroot2leaf,lnorm,-0.25,1,99000000005,137,FALSE
umbs.northern_pine,root_respiration_rate,unif,0,100,99000000005,138,FALSE
umbs.northern_pine,root_turnover_rate,unif,0,10,99000000005,139,FALSE
umbs.northern_pine,Vcmax,unif,0,500,99000000005,164,FALSE
umbs.northern_pine,water_conductance,lnorm,-5.4,3,99000000005,166,FALSE
umbs.northern_pine,quantum_efficiency,weibull,3.32,0.08,99000000005,192,FALSE
umbs.northern_pine,leaf_reflect_nir,beta,34.9735311384901,34.5837441551827,99000000005,99000000529,FALSE
umbs.northern_pine,leaf_reflect_vis,beta,5.51146551887668,53.0005350552089,99000000005,99000000532,FALSE
umbs.northern_pine,leaf_trans_nir,beta,5.52751708683804,13.8189200077886,99000000005,99000000536,FALSE
umbs.northern_pine,leaf_trans_vis,beta,1.1461398130655,73.8390186681173,99000000005,99000000540,FALSE
umbs.northern_pine,clumping_factor,beta,3,1.5,99000000005,99000000547,FALSE
umbs.northern_pine,orient_factor,unif,-0.5,0.5,99000000005,99000000551,FALSE
umbs.northern_pine,leaf_respiration_rate_m2,weibull,2,6,99000000005,99000000552,FALSE
umbs.northern_pine,minimum_height,gamma,1.5,0.2,99000000005,99000000556,FALSE
umbs.northern_pine,mort1,gamma,1,0.05,99000000005,99000000560,FALSE
umbs.northern_pine,mort3,unif,0,0.02,99000000005,99000000564,FALSE
